title,company,location,experience,salary,skills,description
Python Developer,TCS,Bangalore,2-4 years,6-10 LPA,"Python, Django, REST APIs, SQL, Git",Work on backend services using Django and REST.
Data Analyst,Infosys,Hyderabad,1-3 years,4-8 LPA,"Python, Pandas, SQL, Excel, Tableau",Analyze business data and create dashboards.
Backend Engineer,Wipro,Pune,3-5 years,10-15 LPA,"Python, Flask, Docker, PostgreSQL, AWS",Build and maintain microservices.
Software Engineer,Cognizant,Chennai,0-2 years,3-6 LPA,"Python, Java, SQL, HTML, CSS",Develop features for client web applications.
ML Engineer,HCL Technologies,Bangalore,2-4 years,8-14 LPA,"Python, TensorFlow, Scikit-learn, Pandas, NumPy",Train and deploy machine learning models.
Python Developer,Accenture,Mumbai,1-3 years,5-9 LPA,"Python, Django, PostgreSQL, REST APIs",Develop REST APIs for mobile applications.
Data Engineer,Tech Mahindra,Noida,2-5 years,9-15 LPA,"Python, Spark, Hadoop, SQL, AWS",Build ETL pipelines for big data processing.
Full Stack Developer,Mphasis,Bangalore,3-6 years,12-18 LPA,"Python, React, Node.js, MongoDB, Docker",Build end-to-end web products.
DevOps Engineer,Capgemini,Hyderabad,2-4 years,8-13 LPA,"Python, Jenkins, Docker, Kubernetes, AWS",Automate CI/CD pipelines.
Python Developer,Hexaware,Pune,1-2 years,4-7 LPA,"Python, Flask, MySQL, REST APIs, Git",Work on REST-based microservices.
Data Scientist,Mu Sigma,Bangalore,2-4 years,10-16 LPA,"Python, R, Machine Learning, SQL, Tableau",Statistical modeling and predictive analytics.
Software Developer,Mindtree,Hyderabad,1-3 years,5-8 LPA,"Python, Django, JavaScript, SQL",Web application development.
AI Engineer,L&T Infotech,Chennai,3-5 years,14-20 LPA,"Python, PyTorch, NLP, Computer Vision, AWS",AI product development for enterprise clients.
Python Developer,Persistent Systems,Pune,2-4 years,7-12 LPA,"Python, FastAPI, PostgreSQL, Docker, Redis",API development and system integration.
Cloud Engineer,NIIT Technologies,Noida,2-5 years,10-16 LPA,"Python, AWS, Azure, Terraform, Linux",Cloud infrastructure and automation.
Backend Developer,Zensar Technologies,Bangalore,1-3 years,5-9 LPA,"Python, Django, REST APIs, MySQL, Git",Build scalable backend APIs.
Data Analyst,Oracle India,Hyderabad,2-4 years,8-14 LPA,"SQL, Python, Tableau, Excel, Power BI",Business intelligence and reporting.
Python Developer,SAP Labs,Bangalore,3-6 years,15-22 LPA,"Python, Java, Kubernetes, Microservices, SQL",Enterprise software development.
ML Ops Engineer,IBM India,Bangalore,3-5 years,12-18 LPA,"Python, MLflow, Docker, Kubernetes, AWS",Deploy and monitor ML models in production.
Software Engineer,Freshworks,Chennai,1-3 years,7-12 LPA,"Python, Ruby, PostgreSQL, Elasticsearch, Redis",Product engineering for SaaS platform.
Data Engineer,Flipkart,Bangalore,2-5 years,14-20 LPA,"Python, Spark, Kafka, Hadoop, SQL",Real-time data streaming pipelines.
Python Developer,Swiggy,Bangalore,2-4 years,12-18 LPA,"Python, Django, REST APIs, MySQL, AWS",Backend services for food delivery platform.
Backend Engineer,Razorpay,Bangalore,3-5 years,18-28 LPA,"Python, Go, PostgreSQL, Redis, Kafka",Payment infrastructure engineering.
Data Scientist,Ola,Bangalore,2-4 years,12-20 LPA,"Python, Machine Learning, Spark, SQL, Pandas",Demand forecasting and driver allocation.
Software Developer,Zomato,Gurgaon,1-3 years,8-14 LPA,"Python, Django, PostgreSQL, Redis, Docker",Feature development for consumer apps.
Python Developer,Paytm,Noida,2-4 years,10-16 LPA,"Python, Flask, MongoDB, Redis, AWS",Fintech backend development.
ML Engineer,Dream11,Mumbai,2-5 years,15-25 LPA,"Python, TensorFlow, Keras, Pandas, SQL",Player recommendation and scoring models.
Backend Developer,PhonePe,Bangalore,3-6 years,18-30 LPA,"Python, Java, Kubernetes, Kafka, PostgreSQL",Build high-scale payment systems.
Data Analyst,Nykaa,Mumbai,1-3 years,6-10 LPA,"Python, SQL, Tableau, Excel, Google Analytics",E-commerce analytics and customer insights.
Python Developer,BYJU'S,Bangalore,2-4 years,8-14 LPA,"Python, Django, MySQL, REST APIs, Git",EdTech platform development.
